college,course,category,Round 1,Round 2,Round 3,Stray Vacancy
Bhel Kasturba Hospital,(NBEMS) GENERAL MEDICINE,Open,7611.0,,8231.0,14943.0
Neo Hospital,(NBEMS) GENERAL MEDICINE,Open,7667.0,,,
Shree Narayani Healthcare Private Limited,(NBEMS) GENERAL MEDICINE,Open,7714.0,,,
Tej Bahadur Sapru Hospital,(NBEMS) GENERAL MEDICINE,EWS,7759.0,,,
Mahavir Hospital And Research Centre,(NBEMS) GENERAL MEDICINE,Open,7826.0,,,
Desun Hospital And Heart Institute,(NBEMS) GENERAL MEDICINE,Open,7928.0,,,10782.0
Deen Dayal Upadhyay Hospital,(NBEMS) GENERAL MEDICINE,OBC,7959.0,,,
Kalyan Singh Government Medical College,(NBEMS) GENERAL MEDICINE,OBC,7966.0,,,
Hindustan Aeronautics Hospital,(NBEMS) GENERAL MEDICINE,OBC,8011.0,,,
T.S.R.T.C. Hospital,(NBEMS) GENERAL MEDICINE,OBC,8040.0,,,8548.0
Goyal Hospital And Res Center (P) Ltd,(NBEMS) GENERAL MEDICINE,Open,8096.0,,,
District Hospital Chikkaballapur,(NBEMS) GENERAL MEDICINE,Open,8097.0,,,
Meditrina Institute Of Medical Sciences,(NBEMS) GENERAL MEDICINE,Open,8150.0,,,
Valluvanad Hospital Complex Limited,(NBEMS) GENERAL MEDICINE,Open,8157.0,,,
Rangadore Memorial Hospital,(NBEMS) GENERAL MEDICINE,Open,8171.0,,,
Netaji Subhash Chandra Bose District Hospital,(NBEMS) GENERAL MEDICINE,Open,8182.0,,,
Cc Shroff Memorial Hospital (A Unit Of Nandini Ramesh Gandhi Public Charitable,(NBEMS) GENERAL MEDICINE,Open,8191.0,,,
Sagar Hospital -,(NBEMS) GENERAL MEDICINE,Open,8216.0,,,
Deenanath Mangeshkar Hospital And Research Centre.,(NBEMS) GENERAL MEDICINE,Open,8219.0,,,
Joint Accreditation Programme- Sudha Medical College And Hospital,(NBEMS) GENERAL MEDICINE,Open,8231.0,,,14888.0
